DomicileCountry,DomicileRate,Industry,IndustryRates,Listing,ListingRate,ListingADR,ListingADRRate,Cover,CoverRate,RetroDate,RetroDateID,Band,ILF
USA,2,AEROSPACE / DEFENCE,1.5,Australian Exchange,1.35,No ADR,1,Side A,0.3,Prior to RDI,1,0,0.00
UK,1,AGRICULTURE,1.25,Asian Exchange,0.7,ADR I,1,Side A & B,1,RDI,0.8,1000000,1.00
Canada,1.25,AUTOMOBILES,2,Euro Exchange,0.9,ADR II,1.35,Side A & B & C,1.15,,,2000000,1.66
Australia,1.5,BEVERAGES / BREWERIES,1.42857,NYSE / Nasdaq,2,ADR III,1.7,Side A DIC,0.45,,,3000000,2.08
Afghanistan,0.4,CHEMICALS,2,Other Exchange,0.7,,,Side A DIC with Reinstatement,0.525,,,4000000,2.44
Albania,0.4,COMPUTER HARDWARE,1,Private,0.4,,,POSI,1.5,,,5000000,2.65
Algeria,0.4,COMPUTER SERVICES / SUPPORT,1,,,,,,,,,10000000,3.64
American Samoa,0.4,COMPUTER SOFTWARE,1,,,,,,,,,20000000,5.45
Andorra,1,CONSTRUCTION / BUILDING,1,,,,,,,,,25000000,6.34
Angola,0.4,DISTRIBUTORS,1.66667,,,,,,,,,50000000,10.29
Anguilla,0.4,DIVERSIFIED INDUSTRIES,2,,,,,,,,,75000000,13.25
Antigua And Barbuda,0.4,ELECTRONIC HARDWARE,1,,,,,,,,,100000000,15.58
Argentina,1,ENGINEERING,1.5,,,,,,,,,150000000,21.21
Armenia,0.4,Financial Institutions,1,,,,,,,,,200000000,26.40
Aruba,0.4,FOOD PRODUCERS,1.5,,,,,,,,,250000000,31.28
Austria,0.6,HEALTHCARE,1.5,,,,,,,,,300000000,35.93
Azerbaijan,0.4,HOUSEHOLD GOODS / TEXTILES,1,,,,,,,,,350000000,40.40
Bahamas,0.8,INDUSTRIAL,1.42857,,,,,,,,,400000000,44.71
Bahamas - New Providence,0.8,INSURANCE BROKERS,1,,,,,,,,,450000000,48.90
Bahrain,0.4,INVESTMENT CO / ASSET MANAGERS EX. BANKS??,1,,,,,,,,,500000000,52.98
Bangladesh,0.4,LEISURE / HOTELS / ENTERTAINMENT,1.11111,,,,,,,,,600000000,59.53
Barbados,1.1,MEDIA / PUBLISHING,1.25,,,,,,,,,700000000,65.70
Belarus,0.4,MINING,2.5,,,,,,,,,800000000,71.56
Belgium,1,OIL AND GAS,3,,,,,,,,,900000000,77.16
Belize,0.4,PHARMACEUTICALS / BIO-TECHNOLOGY,4,,,,,,,,,1000000000,82.54
Benin,0.4,PROPERTY / REAL ESTATE,1.5,,,,,,,,,,
Bermuda,0.8,RETAILERS,2,,,,,,,,,,
Bolivia,0.4,SUPPORT SERVICES,1.5,,,,,,,,,,
Bosnia And Herzegowina,0.4,TELECOMMUNICATIONS,1.5,,,,,,,,,,
Botswana,0.4,TRANSPORT,1,,,,,,,,,,
Brazil,1,UTILITIES,1.5,,,,,,,,,,
British Virgin Islands,0.8,,,,,,,,,,,,
British West Indies,0.8,,,,,,,,,,,,
Brunei,0.4,,,,,,,,,,,,
Bulgaria,0.4,,,,,,,,,,,,
Burma,0.4,,,,,,,,,,,,
Burma (Myanmar),0.4,,,,,,,,,,,,
Cambodia,0.4,,,,,,,,,,,,
Cameroon,0.4,,,,,,,,,,,,
Cape Verde,0.4,,,,,,,,,,,,
Caribbean,0.4,,,,,,,,,,,,
Cayman Islands,0.8,,,,,,,,,,,,
Chad,0.4,,,,,,,,,,,,
Chile,0.4,,,,,,,,,,,,
China,2,,,,,,,,,,,,
Christmas Island,0.4,,,,,,,,,,,,
Colombia,1,,,,,,,,,,,,
Comoros,0.4,,,,,,,,,,,,
Congo,0.4,,,,,,,,,,,,
Congo (Dem. Rep.),0.4,,,,,,,,,,,,
Cook Islands,0.4,,,,,,,,,,,,
Costa Rica,0.4,,,,,,,,,,,,
Croatia,0.4,,,,,,,,,,,,
Cuba,0.4,,,,,,,,,,,,
Curacao,0.4,,,,,,,,,,,,
Cyprus,1.1,,,,,,,,,,,,
Czech Republic,0.4,,,,,,,,,,,,
Denmark,0.8,,,,,,,,,,,,
Djibouti,0.4,,,,,,,,,,,,
Dominica,0.4,,,,,,,,,,,,
Dominican Rep.,0.4,,,,,,,,,,,,
East Timor,0.4,,,,,,,,,,,,
Ecuador,0.4,,,,,,,,,,,,
Egypt,0.4,,,,,,,,,,,,
El Salvador,0.4,,,,,,,,,,,,
Equatorial Guinea,0.4,,,,,,,,,,,,
Eritrea,0.4,,,,,,,,,,,,
Estonia,0.6,,,,,,,,,,,,
Ethiopia,0.4,,,,,,,,,,,,
Falkland Islands,0.4,,,,,,,,,,,,
Faroe Islands,0.6,,,,,,,,,,,,
Fiji,0.4,,,,,,,,,,,,
Finland,0.6,,,,,,,,,,,,
France,1,,,,,,,,,,,,
French Guiana,0.4,,,,,,,,,,,,
French Polynesia,0.4,,,,,,,,,,,,
Gabon,0.4,,,,,,,,,,,,
Georgia,0.4,,,,,,,,,,,,
Germany,0.6,,,,,,,,,,,,
Ghana,0.4,,,,,,,,,,,,
Gibraltar,0.8,,,,,,,,,,,,
Greece,1,,,,,,,,,,,,
