Code,Share,Lower,Upper,Premium
1,1.00,0,10000000,3637201171
2,1.00,10000001,15000000,552812701
3,1.00,15000001,20000000,534626448
4,1.00,20000001,25000000,235735406
5,1.00,25000001,30000000,149910292
6,1.00,30000001,35000000,115600317
7,1.00,35000001,40000000,92138894
8,1.00,40000001,45000000,78729047
9,1.00,45000001,50000000,65842121
10,1.00,50000001,55000000,50436141
11,1.00,55000001,60000000,45460223
12,1.00,60000001,65000000,40254050
13,1.00,65000001,70000000,38832661
14,1.00,70000001,75000000,34895975
15,1.00,75000001,80000000,29764839
16,1.00,80000001,85000000,25033921
17,1.00,85000001,90000000,22087054
18,1.00,90000001,95000000,18759770
19,1.00,95000001,100000000,18994712
20,1.00,100000001,105000000,13284550
21,1.00,105000001,110000000,12374476
22,1.00,110000001,115000000,9229663
23,1.00,115000001,120000000,11198898
24,1.00,120000001,125000000,8314031
25,1.00,125000001,130000000,9901040
26,1.00,130000001,135000000,9465892
27,1.00,135000001,140000000,5048053
28,1.00,140000001,145000000,8767688
29,1.00,145000001,150000000,8216784
30,1.00,150000001,160000000,12996880
31,1.00,160000001,170000000,11707173
32,1.00,170000001,180000000,12002773
33,1.00,180000001,190000000,6317025
34,1.00,190000001,200000000,8868224
35,1.00,200000001,210000000,7340469
36,1.00,210000001,220000000,7722280
37,1.00,220000001,230000000,4644299
38,1.00,230000001,240000000,4860338
39,1.00,240000001,250000000,5524096
40,1.00,250000001,260000000,4288690
41,1.00,260000001,270000000,2963313
42,1.00,270000001,280000000,5598897
43,1.00,280000001,290000000,2666204
44,1.00,290000001,300000000,3290148
45,1.00,300000001,310000000,3947749
46,1.00,310000001,320000000,3470938
47,1.00,320000001,330000000,3005070
48,1.00,330000001,340000000,1238191
49,1.00,340000001,370000000,9214347
50,1.00,370000001,400000000,9964441
51,1.00,400000001,430000000,11389186
52,1.00,430000001,460000000,8106085
53,1.00,460000001,490000000,6866766
54,1.00,490000001,520000000,8116173
55,1.00,520000001,550000000,9709371
56,1.00,550000001,580000000,8145408
57,1.00,580000001,610000000,34302208
58,1.00,610000001,640000000,1096832
59,1.00,640000001,670000000,2356603
60,1.00,670000001,700000000,3726775
61,1.00,700000001,730000000,1273796
